time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 12:15:57,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,07/14/2022,07/18/2022,920,2022-07-14 05:35:00,495,1,2022-07-18 17:30:00,483,1,4
2022-07-09 12:16:56,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,07/21/2022,07/25/2022,968,2022-07-21 13:29:00,471,1,2022-07-25 16:10:00,355,0,11
2022-07-09 12:17:54,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,07/28/2022,08/01/2022,896,2022-07-28 13:29:00,471,1,2022-08-01 16:10:00,355,0,18
2022-07-09 12:18:53,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,08/04/2022,08/08/2022,838,2022-08-04 07:00:00,310,0,2022-08-08 16:10:00,355,0,25
2022-07-09 12:19:49,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,08/11/2022,08/15/2022,718,2022-08-11 07:00:00,310,0,2022-08-15 16:10:00,355,0,32
2022-07-09 12:20:42,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,08/18/2022,08/22/2022,545,2022-08-18 07:00:00,310,0,2022-08-22 17:30:00,497,1,39
2022-07-09 12:23:03,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,09/08/2022,09/12/2022,433,2022-09-08 13:41:00,431,1,2022-09-12 13:35:00,623,1,60
2022-07-09 12:24:01,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,09/15/2022,09/19/2022,433,2022-09-15 05:20:00,510,1,2022-09-19 13:35:00,623,1,67
2022-07-09 12:24:59,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,09/22/2022,09/26/2022,473,2022-09-22 13:41:00,431,1,2022-09-26 13:35:00,623,1,74
